"Organization Name", "Address", "Phone", "Fax", "Email", "Website", "Contact", "Age Groups", "Languages Spoken", "Fees", "Service Hours", "Services Provided"
"Mayor's Office of Neighborhood Services (MONS)", "City Hall",  "(415) 554-7111","(415) 554-6474","Joaquin.Torres@sfgov.org","http://sfmayor.org/index.aspx?page=20","Joaquin Torres, Director","All ages","English","None","Monday - Friday, 8:30am - 5:30pm","MONS is dedicated to helping the citizens of the City & County of San Francisco receive the highest levels of service possible from all areas of City government. District and community liaisons work to ensure that the Mayor's Office is involved with helping to improve the quality of life for all San Francisco residents."
"Mayor's Office of Neighborhood Services (MONS)", "1 Dr. Carlton B. Goodlett Place, Room 160, San Francisco, CA 94102",  "(415) 554-7111","(415) 554-6474","Joaquin.Torres@sfgov.org","http://sfmayor.org/index.aspx?page=20","Joaquin Torres, Director","All ages","English","None","Monday - Friday, 8:30am - 5:30pm","MONS is dedicated to helping the citizens of the City & County of San Francisco receive the highest levels of service possible from all areas of City government. District and community liaisons work to ensure that the Mayor's Office is involved with helping to improve the quality of life for all San Francisco residents."
"Mayor's Office on Disability (MOD)", "401 Van Ness Avenue, Room 300, San Francisco, CA 94102",  "(415) 554-6789 TTY: (415) 554-6799","(415) 554-6159","mod@sfgov.org","www.sfgov.org/sfmod","","All","","None","","The mission of the Mayor's Office on Disability is to ensure that every program, service, benefit, activity and facility operated or funded by the City of San Francisco is fully accessible to, and useable by, people with disabilities. MOD is responsible for overseeing the implementation and local enforcement of the City's obligations under the Americans with Disabilities Act (ADA) as well as other federal, state and local access codes and disability rights laws."
"McAuley Institute", "St. Mary Medical Hospital",  "(415) 750-5580","(415) 750-4912","margaret.o'brien@dignityhealth.org","http://www.stmarysmedicalcenter.org/Medical_Services/198742","Peggy O'Brien, Executive Director","12 ­ 18 years old","English","Call for information","Monday - Friday, 8:30am - 5:00pm","The McAuley Institute at St. Mary's Medical Center provides comprehensive mental health treatment to adolescents and their families. The institute offers two programs: The Adolescent Day Treatment Program - An intensive, comprehensive day treatment program providing psychological and educational services to San Francisco youth. Admissions are by appointment only, please call (415) 750-4909. The Adolescent Inpatient Program - A brief, intensive psychiatric inpatient hospitalization for adolescents suffering from severe emotional crisis. Admissions are available 24-hours a day through a referral service, please call (415) 750-5649."
"McAuley Institute", "2200 Hayes Street, San Francisco, CA 94117",  "(415) 750-5580","(415) 750-4912","margaret.o'brien@dignityhealth.org","http://www.stmarysmedicalcenter.org/Medical_Services/198742","Peggy O'Brien, Executive Director","12 ­ 18 years old","English","Call for information","Monday - Friday, 8:30am - 5:00pm","The McAuley Institute at St. Mary's Medical Center provides comprehensive mental health treatment to adolescents and their families. The institute offers two programs: The Adolescent Day Treatment Program - An intensive, comprehensive day treatment program providing psychological and educational services to San Francisco youth. Admissions are by appointment only, please call (415) 750-4909. The Adolescent Inpatient Program - A brief, intensive psychiatric inpatient hospitalization for adolescents suffering from severe emotional crisis. Admissions are available 24-hours a day through a referral service, please call (415) 750-5649."
"Meals on Wheels San Francisco", "1375 Fairfax Avenue, San Francisco, CA 94124",  "(415) 920-1111","(415) 920-1110","","www.mowsf.org/","","Seniors and Disabled Individuals","Spanish, Cantonese, Tagalog, Russian, Samoan","None","Office Hours: Monday - Friday, 8:30am -4:30pm","Meals on Wheels SF delivers nutritionally balanced meals to homebound seniors in San Francisco since 1970. For 40 years, Meals on Wheels SF has set the standard for alleviating the financial and emotional costs of premature and/or inappropriate institutionalization of seniors. It is the only home-delivered meal program in San Francisco that provides two home-delivered meals a day and the only organization that delivers therapeutic meals city-wide."
"Media Alliance", "1904 Franklin Street, Suite 818, Oakland, CA 94612",  "(510) 832-9000","(510) 238-8557","information@media-alliance.org","www.media-alliance.org","Tracy Rosenberg, Executive Director","All ages","English, Spanish","Fixed charge depending on the program","By appointment, please call.","Media Alliance offers classes in writing skills-grammar, proofreading, copy-editing, feature writing, investigative reporting, media press relations and publicity techniques. Media Alliance also offers a job listing service focusing on careers in print, broadcasting, and digital media, and internships, freelance, and temporary work in writing, editing and design, and social justice and community service positions. Membership to Media Alliance includes workshops and lectures on media-related issues, subscription to Mediafile, media review, and discounts on publications, workshops, seminars, and forums."
"Mission ACT", "2712 Mission Street, San Francisco, CA 94110",  "(415) 401-2750","(415) 401-2774","galileo.medrado@sfdph.org","","Galileo Medrado, Program Director","18 years old and older","English, Spanish","Call for information","24/7 Hotline available only to patients","Mission ACT is a neighborhood-based assertive community team. ACT offers wraparound services to adults with persistent mental illness, many with co-occurring alcohol and/or substance abuse disorders. Services by Mission ACT are provided with a special focus on the Latino and gay and lesbian communities."
"Mission Child Care Consortium, Inc.", "4750 Mission Street, San Francisco, CA 94112",  "(415) 586-6139","(415) 586-2339","julielara.mccc@yahoo.com","","Joseph Martinez, Executive Director","3 - 5 years old","English, Spanish, Tagalog, Cantonese, Vietnamese","None","Office: Monday ­ Friday, 9:00am - 5:00pm; Center: 7:00am - 5:30pm; Child care: Monday - Friday, 7:00am - 6:00pm","Mission Child Care Consortium operates a child care center for low- income Bay Area children, providing developmental educational and recreational activities in a bilingual, and cross-cultural environment. Parents must be working or enrolled in a government job training program, and priority is given to children in protective custody or whose parents are on CalWORKs. Women-specific services include general child care."
"Mission Council on Alcohol Abuse for the Spanish Speaking", "820 Valencia Street, San Francisco, CA 94110",  "(415) 826-6767, 474 Valencia Street Location: (415) 864-0554","(415) 826-6774","","http://www.missioncouncil.org","Jose Luis Aguirre, Executive Director","18 years old and older","English, Spanish, Cantonese","Call for information","Monday - Friday, 9:00am - 9:00pm","The Mission Council provides services that minimize and prevent alcohol and other drug-related problems for individuals, families, and groups. The Mission Council serves clients from all socio-economic backgrounds, and is committed to addressing issues relating to domestic violence, aftercare counseling, housing and job development to allow the individual a functional place in their community. Drug and alcohol outpatient treatment services include culturally specific assessments; outpatient counseling for individuals and groups; drug and alcohol education classes, drug and alcohol urine and breathalyzer testing; Alcoholics Anonymous (AA) and Narcotics Anonymous (NA) groups; linkage to outside services and referrals for employment, housing and medical needs; collaboration with the San Francisco drug court; domestic violence counseling; and dual diagnosis assessment and counseling."
