Agency Name,Program Name,Strategy,Lead Agency Address,Lead Agency District,Lead Agency Zip,Site Name,Site Address,Site Zip,Site Phone,Site District,Site Location,Site School,0-5,'6-13,14-17,Parent,18-21,22-25,18-24,English,Spanish,Mandarin,Cantonese,Korean,Vietnamese,Russian,Filipino (Tagalog),Language Other
YMCA - Buchanan,Summer ExCEL @ Dr. William Cobb Elementary School,EXCEL Match Summer,1530 Buchanan Street,District 5,94115,Western Addition Beacon Center,380 Webster Street,94117,415-749-2714,5,Public School,"Muir, John Elementary School (K-5)",X,X,X,X,,,,X,X,,,,,,,
YMCA - Buchanan,SY EXCEL @ Dr. William Cobb Elementary School,ExCEL Match School Year,1530 Buchanan Street,District 5,94115,Dr. Cobb ExCEL ASP,2725 California Street,94115,415-749-3505,5,Public School,"Cobb, Dr. William L. Elementary School (K-5)",X,X,,,,,,X,X,,,,,,,
YMCA - Buchanan,SY EXCEL @ Rosa Parks Elementary School,ExCEL Match School Year,1530 Buchanan Street,Unassigned,94115,Rosa Parks ExCEL ASP,1501 O'Farrell Street,94115,415-7493519,5,Public School,"Parks, Rosa Elementary School (K-5)",X,X,,,,,,X,X,X,X,,,,,
YMCA - Chinatown,Chinatown YMCA ASEP (After School Enrichment Program),Comprehensive K-8 Community-Based Afterschool,855 Sacramento Street,District 3,94108,Chinatown YMCA,855 Sacramento Street,94108,415-576-9622,3,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,,X,X,,,,,
YMCA - Chinatown,Chinatown YMCA Summer School Program,Comprehensive K-8 Summer Learning,855 Sacramento St,District 3,94108,John Yehall Chin Elementary School,350 Broadway Street,94133,415-291-7046,3,Public School,"Chin, John Yehall Elementary School (K-5)",X,X,,,,,,X,,X,X,,,,,
YMCA - Chinatown,Summer ExCEL @ Spring Valley Science School,EXCEL Match Summer,855 Sacramento St.,Unassigned,94108,Gordon J. LAu ES,"950 Clay Street, San Francisco",94108,415-291-7921,3,Public School,"Lau, Gordon J. Elementary School (K-5)",,X,,,,,,X,X,X,X,,,,,
YMCA - Chinatown,SY EXCEL @ Chinese Education Center ES,ExCEL Match School Year,855 Sacramento Street,District 3,94108,Chinese Education Center,657 Merchant Street,94111,415-291-7918,3,Public School,Chinese Education Center Elementary School (K-5),X,X,,,,,,X,,X,X,,,,,
YMCA - Chinatown,SY EXCEL @ Gordon J. Lau ES,ExCEL Match School Year,855 Sacramento St.,District 3,94108,Gordon J. Lau ES,"950 Clay St, San Francisco",94108,415-291-7921,3,Public School,"Lau, Gordon J. Elementary School (K-5)",X,X,,,,,,X,X,X,X,,,,,
YMCA - Chinatown,SY EXCEL @ Jean Parker ES,ExCEL Match School Year,840 Broadway St.,District 3,94133,Jean Parker ES,840 Broadway St. San Francisco,94133,415-291-7996,3,Public School,"Parker, Jean Elementary School (K-5)",X,X,,,,,,X,X,X,X,,,,,
YMCA - Chinatown,SY EXCEL @ John YeHall Chin ES,ExCEL Match School Year,855 Sacramento Street,District 3,94108,John Yehall Chin,350 Broadway Street,94133,415-291-7946,3,Public School,"Chin, John Yehall Elementary School (K-5)",X,X,,,,,,X,,X,X,,,,,
YMCA - Chinatown,SY EXCEL @ Spring Valley Science School,ExCEL Match School Year,855 Sacramento St.,District 3,94108,Spring Valley Science School,1451 Jackson Street,94109,415-749-3500,3,Public School,Spring Valley Elementary School (K-5),X,X,,,,,,X,,X,X,,X,,,
YMCA - Chinatown,SY EXCEL @ Yick Wo Elementary School,ExCEL Match School Year,2245 Jones Street,District 3,94133,Yick Wo Elementary School,2245 Jones Street,94133,4157493540,3,Public School,Yick Wo Elementary School (K-5),X,X,,,,,,X,X,,X,X,,,,
YMCA - Embarcadero,Summer ExCEL @ Bessie Carmichael/FEC K-8,EXCEL Match Summer,169 Stueart Street,District 6,94105,Bessie Carmichael/FEC,375 7th Street,94103,415-250-2432,6,Public School,"Carmichael, Bessie (K-5)",X,X,X,,,,,X,X,X,,,,X,X,
YMCA - Embarcadero,SY EXCEL @ Bessie Carmichael/FEC K-8,ExCEL Match School Year,169 Steuart Street,District 6,94105,Bessie Carmichael/FEC,375 7th Street,94103,415-250-2432,6,Public School,"Carmichael, Bessie (K-5)",X,X,X,,,,,X,X,X,,,,X,X,
YMCA - Embarcadero,SY EXCEL @ Harvey Milk Civil Rights Academy,ExCEL Match School Year,169 Steuart Street,Unassigned,94015,Harvy Milk Civil Rights Academy,4235 19th Street,94114,415-421-6276,8,Public School,"Milk, Harvey (K-5)",X,X,,,,,,X,X,X,X,,X,X,X,
YMCA - Mission,Excelsior Rec Connect After School Program,Comprehensive K-8 Community-Based Afterschool,4080 Mission St,District 11,94112,Excelsior Rec Connect,579 Madrid St,94112,415-850-2490,11,SF Recreation and Park facility,,X,X,,,,,,X,X,X,X,,,,X,
YMCA - Mission,Excelsior Rec Connect Summer Program,Comprehensive K-8 Summer Learning,4080 Mission St,District 11,94112,Excelsior Rec Connect Summer Program,579 Madrid st,94112,4154061521,11,SF Recreation and Park facility,,X,X,,,,,,X,X,X,X,X,,,X,
YMCA - Mission,Specialized Teen Top Chef Program,Specialized Teen,4080 Mission St,District 11,94112,Mission YMCA,4080 Mission St,94112,415-586-7480,11,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,X,,,,X,
YMCA - Mission,Summer ExCEL @ Monroe Elementary,EXCEL Match Summer,4080 Mission St,District 11,94112,Monroe Elementary,4080 Mission St,94112,4154061521,11,Public School,Monroe Elementary School (K-5),X,X,,,,,,X,X,X,X,X,X,X,X,
YMCA - Mission,Summer ExCEL @ Visitacion Valley,EXCEL Match Summer,4080 Mission St,District 11,94112,Visitaction Valley Elementary School Summer Program,50 Scherwin st,94134,4155061521,10,Public School,Visitacion Valley Elementary School (K-5),X,X,,,,,,X,X,X,X,X,X,,X,
YMCA - Mission,Sunnyside Clubhouse Summer Camp Program,Comprehensive K-8 Summer Learning,200 Melrose AV,District 7,94112,Sunnyside Summer Day Camp,200Melrose,94112,415-786-3674,7,SF Recreation and Park facility,,,X,X,,,,,X,X,,,,,,,
YMCA - Mission,Sunnyside Elementary Before and After School Program Comprehensive K-8 Before and Afterschool Scholarships,Comprehensive K-8 Before and Afterschool Scholarships,4080 Mission St,District 11,94112,Sunnyside Before and After School program,250 Forestor,94112,415-240-8397,7,Public School,Sunnyside Elementary School (K-5),X,X,,,,,,X,X,,,,,,,
YMCA - Mission,SY EXCEL @ Monroe Elementary After School Program,ExCEL Match School Year,4080 Mission st,District 11,94112,Monroe Elementary After School Program,4080 Mission St,94112,4154061521,11,Public School,Monroe Elementary School (K-5),,X,,,,,,X,X,X,X,,X,,X,
YMCA - Mission,SY EXCEL @ Visitacion Valley Elementary After School Program,ExCEL Match School Year,4080 Mission St,District 11,94112,Visitacion Valley Afterschool Program,4080 Mission St,94112,4154061521,10,Public School,Visitacion Valley Elementary School (K-5),X,X,,,,,,X,X,X,X,X,X,,X,
YMCA - Presidio,Marina Middle School Summer Learning Program,Comprehensive K-8 Summer Learning,63 Funston Ave,District 2,94129,Marina Middle School,3500 Fillmore St,94123,415-351-3180,2,Public School,Marina Middle School (6-8),,X,,,,,,X,X,X,X,X,X,X,X,"Arabic, Tigrinya"
YMCA - Presidio,Presidio Youth in Nature Program (PYNP),Specialized K-8_Assigned,63 Funston Ave,District 2,94129,Marina Middle School,3500 Fillmore Street,94123,415-749-3495,2,Public School,Marina Middle School (6-8),,X,,,,,,X,X,X,X,,,X,,
YMCA - Presidio,Presidio Youth in Nature Program (PYNP),Specialized K-8_Assigned,63 Funston Ave,District 2,94129,Claire Lilienthal Learning Academy,3630 Divisadero St,94123,(415) 749-3516,2,Public School,"Lilienthal, Claire (Winfield Scott Campus) (3-8)",,X,,,,,,X,X,X,,X,,X,,
YMCA - Presidio,Presidio Youth in Nature Program (PYNP),Specialized K-8_Assigned,63 Funston Ave,District 2,94129,SFUSD Early Education Department - Commodore Stockton,"1 Trenton Street, San Francisco, CA",94108,(415) 291-7932,3,Other,,,X,,,,,,X,,X,X,,,,,
YMCA - Presidio,SY EXCEL @ Claire Lilienthal learning Academy,ExCEL Match School Year,63 Funston Ave.,District 2,94129,Claire Lilienthal Alternative School,3630 Divisadero Street,94123,415-749-1869,2,Public School,"Lilienthal, Claire (Winfield Scott Campus) (3-8)",,X,,,,,,X,X,,,X,,,,
YMCA - Presidio,SY EXCEL @ Marina Middle School,ExCEL Match School Year,63 Funston Ave,District 2,94129,Marina Middle School,3500 Fillmore St,94123,415-351-3180,2,Public School,Marina Middle School (6-8),,X,,,,,,X,X,X,X,,X,X,X,"Arabic, Tigrinya"
YMCA - Presidio,SY EXCEL @ Sutro After School Program,ExCEL Match School Year,63 FUNSTON AVE,District 2,94129,Sutro Elementary School,235 12th Ave,94118,415-750-8525,1,Public School,Sutro Early Education School (K-5),X,X,,,,,,X,X,X,X,,,,,
YMCA - Presidio,YBike,Specialized K-8_Assigned,63 Funston Ave,District 2,94129,,,,,,,Francisco Middle School (6-8),,,,,,,,,,,,,,,,
YMCA - Richmond,Comprehensive K-8 Before and Afterschool Scholarships for the Program at Argonne Elementary School,Comprehensive K-8 Before and Afterschool Scholarships,360 18th Ave,District 1,94121,Argonne Elementary School,680 18th Ave.,94121,415-831-4093,1,Public School,Argonne Elementary School (K-5),X,X,,,,,,X,,,,,,X,,
YMCA - Richmond,LEAP (Learning Enrichment Afterschool Program),Comprehensive K-8 Community-Based Afterschool,Argonne Playground Clubhouse - 463 18th Ave.,District 1,94121,Argonne Playground Clubhouse,463 18th Ave.,94121,415-944-7630,1,SF Recreation and Park facility,,,X,,,,,,X,,X,,,,X,,German
YMCA - Shih Yu-Lang,K-8 Comprehensive Summer,,,Unassigned,,,,,,,,,,,,,,,,,,,,,,,,
YMCA - Shih Yu-Lang,Tenderloin Junior Youth Development Program,Comprehensive K-8 Community-Based Afterschool,387 Golden Gate Avenue,District 6,94102,Shih Yu-Lang Central YMCA,387 Golden Gate Avenue,94102,415-447-2510,6,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,X,X,X,,,,X,
YMCA - Shih Yu-Lang,Tenderloin Youth Development Program,Specialized Teen,387 Golden Gate Avenue,District 6,94102,Tenderoin Youth Development Program,387 Golden Gate Avenue,94102,415-885-0460,6,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,,X,,X,,X,"Russian, Portugese"
YMCA - Stonestown,After School Program @ IT Bookman,Comprehensive K-8 Community-Based Afterschool,446 Randolph Street,District 11,94132,IT Bookman,446 Randolph St,94132,415-586-8020,11,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,,,,,,,,
YMCA - Stonestown,IT Bookman OST Literacy,SFTEAM_NEW,333 Eucalyptus Dr,District 7,94132,,,,,,,,,,,,,,,,,,,,,,,
YMCA - Stonestown,Summer ExCEL @ Commodore Sloat Elementary,EXCEL Match Summer,333 Eucalyptus Drive,District 7,94132,Jose Ortega Elementary School,400 Sargent Street,94132,415-242-7129,11,Public School,"Ortega, Jose Elementary School (K-5)",,X,,,,,,X,X,X,X,,,X,X,
YMCA - Stonestown,Summer ExCEL @ Herbert Hoover Middle School,EXCEL Match Summer,333 Eucalyptus Dr,District 7,94132,Aptos Middle School,105 Aptos Ave,94127,415-242-7113,7,Public School,Aptos Middle School (6-8),,X,X,,,,,X,X,X,X,,,,,
YMCA - Stonestown,Summer ExCEL @ Sheridan Elementary,EXCEL Match Summer,333 Eucalyptus Drive,District 7,94132,Jose Ortega Elementary School,400 Sargent Street,94132,415-242-7129,11,Public School,"Ortega, Jose Elementary School (K-5)",,X,,,,,,X,X,X,X,,,,,
YMCA - Stonestown,Summer Program @ IT Bookman,Comprehensive K-8 Summer Learning,333 Eucalyptus Ave,District 11,94132,IT Bookman Community Center,446 Randolph Street,94132,415-242-7129,11,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,,,X,,,,,
YMCA - Stonestown,SY EXCEL @ Aptos Middle School,ExCEL Match School Year,333 Eucalyptus Dr,District 7,94132,Aptos Middle School,105 Aptos Avenue,94116,415-469-4520,7,Public School,Aptos Middle School (6-8),,X,X,,,,,X,,,X,,,,X,
YMCA - Stonestown,SY EXCEL @ Commodore Sloat Elementary,ExCEL Match School Year,333 Eucalyptus St,District 7,94132,Commodore Sloat Elementary School,50 Darien Way,94127,415-242-7129,7,Public School,"Sloat, Commodore Elementary School (K-5)",X,X,,,,,,X,X,X,X,,,,,
YMCA - Stonestown,SY EXCEL @ Herbert Hoover Middle School,ExCEL Match School Year,333 Eucalyptus Dr,District 7,94132,Hoover Middle School,2290 14th Ave,94116,415-242-7113,7,Public School,"Hoover, Herbert Middle School (6-8)",,X,X,,,,,X,X,,X,,,,,
YMCA - Stonestown,SY EXCEL @ Lawton Alternative School,ExCEL Match School Year,333 Eucalyptus Dr,District 7,94132,Lawton Alternative School,1570 31st Ave,94122,415-242-7113,4,Public School,Lawton (K-8),,X,X,,,,,X,X,X,X,,,,,
YMCA - Stonestown,SY EXCEL @ Miraloma Elementary,ExCEL Match School Year,333 Eucalyptus Dr,District 7,94132,Miraloma Elementary School,175 Omar Way,94127,415-242-7129,7,Public School,Miraloma Elementary School (K-5),X,X,,,,,,X,,,,,,,,
YMCA - Stonestown,SY EXCEL @ Sheridan Elementary,ExCEL Match School Year,333 Eucalyptus Dr,District 7,94132,Sheridan Elementary School,431 Capitol Ave,94112,415-242-7139,11,Public School,Sheridan Elementary School (K-5),X,X,,,,,,X,X,,X,,,,,
YMCA - Stonestown,SY EXCEL and Scholarship @ Jose Ortega Elementary,ExCEL Match School Year,333 Eucalyptus Dr,District 7,94132,Jose Ortega Elementary School,400 Sargent St,94132,415-242-7139,11,Public School,"Ortega, Jose Elementary School (K-5)",X,X,,,,,,X,X,X,X,,,,,
YMCA - Urban Services,Balboa Specialized Teen Program,Specialized Teen,"1426 Fillmore Street, Suite 204",District 5,94112,Balboa High School (OMIE Beacon Center),1000 Cayuga Ave,94112,415 406 1290,11,Public School,Balboa High School (9-12),,X,X,,,,,X,X,X,,,,,,Japanese
YMCA - Urban Services,Dr. Charles Drew Elementary School Summer Program,Comprehensive K-8 Summer Learning,1426 Fillmore St Suite 204,District 5,94115,Charles Drew College Prep,50 Pomona Street,94124,415.756.9209,10,Public School,"Drew, Dr. Charles R. Elementary School (K-5)",,X,,,,,,X,,,,,,,,
YMCA - Urban Services,Fiscal Support and Program Management for the Youth Empowerment Fund,Miscellaneous,,Unassigned,,YMCA - Urban Services,1426 Fillmore St. #204,94115,415.561.0631,5,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,,X,,,,,
YMCA - Urban Services,OMI Beacon Youth Workforce Development Program,Youth Workforce Development,"1426 Fillmore Street, Suite 204",District 5,94112,OMIE Beacon Center,241 Oneida Ave Room 181 SF CA,94112,415 406-1290,11,Non-profit's owned or leased space (not faith-based),,,,X,,X,,,X,X,,X,,,,,
YMCA - Urban Services,OMI/Excelsior Beacon Center,Beacons,"241 Oneida, Room 181",District 11,94112,James Denman Middle School,"241 Oneida Avenue, Room 181",94112,415-406-1290,11,Public School,"Denman, James Middle School (6-8)",X,X,X,X,,,,X,X,,X,,,,X,
YMCA - Urban Services,OMI/Excelsior Beacon Center,Beacons,"241 Oneida, Room 181",District 11,94112,OMI/Excelsior Beacon Center's Balboa After School Program,1000 Cayuga Ave,94112,415-406-1290,11,Public School,Balboa High School (9-12),,,X,,,,,X,X,,,,,,,
YMCA - Urban Services,Starr King Elementary Summer Program,Comprehensive K-8 Summer Learning,1426 Fillmore St Suite 204,District 5,94115,Starr King Summer Program,1215 Carolina Street,94107,415-328-2335,10,Public School,Starr King Elementary School (K-5),,X,,,,,,X,X,,X,,,,X,
YMCA - Urban Services,Summer ExCEL @ Heritage Camp at Malcolm X Academy,EXCEL Match Summer,1426 Fillmore St Suite 204,District 5,94115,Malcolm X Academy Elementary School,350 Harbor Road,94124,415-695-2426,10,Public School,Malcolm X Elementary School (K-5),,X,,,,,,X,,,,,,,,Samoan
YMCA - Urban Services,Summer ExCEL @ Paul Revere,EXCEL Match Summer,1426 Fillmore Street Suite 204,District 5,94115,Paul Revere K-8,555 Tompkins Ave,94110,415-695-5656,9,Public School,"Revere, Paul (K-8)",,X,,,,,,X,X,,,,,,,
YMCA - Urban Services,SY EXCEL @ Dr. Charles Drew Elementary School,ExCEL Match School Year,1426 Fillmore Street Suite 204,District 5,94115,Charles Drew ASP,50 Pomona Street,94124,415-756-9209,10,Public School,"Drew, Dr. Charles R. Elementary School (K-5)",,X,,,,,,X,,,,,,,,
YMCA - Urban Services,SY EXCEL @ International Studies Academy,ExCEL Match School Year,1426 Fillmore Street Suite 204,District 10,94115,ISA After School Program,655 De Haro St,94107,415.641.1507,10,Public School,International Studies Academy (6-12),,X,X,,,,,X,X,X,X,,,,X,Samoan
YMCA - Urban Services,SY EXCEL @ Malcolm X Academy,ExCEL Match School Year,1426 Fillmore Street Suite 204,District 5,94115,Malcolm X Academy ASP,350 Harbor Road,94124,415-695-2426,10,Public School,Malcolm X Elementary School (K-5),,X,,,,,,X,,,,,,,,Samoan
YMCA - Urban Services,SY EXCEL @ Starr King Elementary School,ExCEL Match School Year,1426 Fillmore Street Suite 204,District 5,94115,Starr King After School Program,1215 Carolina Street,94107,415-328-2335,10,Public School,Starr King Elementary School (K-5),,X,,,,,,X,X,,,,,,,
YMCA - Urban Services,Tailor Made Diversionion Program,Diversion,"1426 Fillmore Street, Suite 204",District 5,94115,OMI/Excelsior Beacon Center,"241 Oneida Avenue, Room 181",94112,415-406-1290,11,Public School,"Denman, James Middle School (6-8)",,,X,,,,,X,X,,X,,,,,
YMCA - Urban Services,TARC,Secondary Prevention,"44 Gough Street, Suite 106",District 6,94115,TARC,"44 Gough Street, Suite 106",94103,415-437-1700,6,Non-profit's owned or leased space (not faith-based),,,,X,X,X,,,X,X,,X,,,,,American Sign Language
YMCA - Urban Services,Truancy Intervention Program (TIP),Secondary Prevention,1426 Fillmore Street Suite 204,District 5,94115,Urban Services YMCA,1426 Fillmore Street Suite 204,94115,415-437-1700,5,Non-profit's owned or leased space (not faith-based),,,,X,X,X,X,,X,X,,X,,,,,American Sign Language
YMCA - Urban Services,Western Addition Case Management,Diversion,"1426 Fillmore Street, Suite 204",District 5,94115,Urban Services YMCA,1426 Fillmore Street Suite 2-4,94115,415-561-0631,5,Non-profit's owned or leased space (not faith-based),,,,X,X,X,X,,X,X,,X,,,,,
YMCA of San Francisco,Youth in Government,Specialized Teen,"50 California Street, Suite 650",District 3,94111,Buchanan YMCA,1530 Buchanan Street,94115,415-931-9622,5,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,,,,,,
YMCA of San Francisco,Youth in Government,Specialized Teen,"50 California Street, Suite 650",District 3,94111,Embarcadero YMCA,169 Steuart Street,94105,415-957-9622,6,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,,,,,,
YMCA of San Francisco,Youth in Government,Specialized Teen,"50 California Street, Suite 650",District 3,94111,Stonestown YMCA,333 Eucalyptus Drive,94132,415-242-7101,7,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,,,,,,
YMCA of San Francisco,Youth in Government,Specialized Teen,"50 California Street, Suite 650",District 3,94111,Bayview Hunters Point YMCA,1601 Lane Street,94124,415-822-7728,10,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,,,,,,
Young Community Developers,Employment & Education reEngagement Program,Youth Workforce Development_JJSI,1715 Yosemite Ave.,Unassigned,94124,"Young Community Developers, Inc.",1715 Yosemite Ave.,94124,415-824-3491,10,Non-profit's owned or leased space (not faith-based),,,,X,,X,,,X,X,,X,,,,,
Young Community Developers,Summer Youth Academic and Employment Program,SUM_TRANS,1715 Yosemite Avenue,District 10,94124,Wallenberg High School,40 Vega Street,94115,(415) 749-3469,5,Public School,"Wallenberg, Raoul High School (9-12)",,,X,,,,,X,X,,,,,,,
Young Community Developers,Summer Youth Academic and Employment Program,SUM_TRANS,1715 Yosemite Avenue,District 10,94124,Burton High School,400 Mansell Street,94134,(415) 469-4550,10,Public School,"Burton, Phillip and Sala High School (9-12)",,,X,,,,,X,,,,,,,,
Young Community Developers,Summer Youth Academic and Employment Program,SUM_TRANS,1715 Yosemite Avenue,District 10,94124,Balboa High School,1000 Cayuga Ave,94112,(415) 469-4090,11,Public School,Balboa High School (9-12),,,X,,,,,X,X,X,X,,,,,
Young Community Developers,Summer Youth Academic and Employment Program,SUM_TRANS,1715 Yosemite Avenue,District 10,94124,Galileo High School,1150 Francisco,94109,(415) 749-3430,3,Public School,Galileo High School (9-12),,,X,,,,,,X,,,,,,,
Young Community Developers,Summer Youth Academic and Employment Program (FY2013-14),SUM_TRANS,1715 Yosemite Avenue,District 10,94124,Galileo High School,1150 Francisco Street,94109,415-749-3430,1,Public School,Galileo High School (9-12),,,X,,,,,X,,,,,,,,
Young Community Developers,Summer Youth Academic and Employment Program (FY2013-14),SUM_TRANS,1715 Yosemite Avenue,District 10,94124,Balboa High School,1000 Cayuga,94112,469-4090,11,Public School,Balboa High School (9-12),,,X,,,,,X,,,,,,,,
Young Community Developers,Thurgood Career Awareness Program,Career Awareness,1715 Yosemite Avenue,District 10,94124,Thurgood Marshall High School,45 Conkling Street,94124,415-695-5612,10,Public School,"Marshall, Thurgood High School (9-12)",,,X,,,,,X,,,,,,,,
Youth Law Center,The Beat Within (TBW),Detention Based,PO Box 34310,District 6,94134,San Francisco Youth Guidance Center,375 Woodside Avenue,94127,4156825100,7,,,,X,X,,X,X,,X,X,,X,X,X,,X,
Youth Leadership Institute,BLING - Building Leaders in Innovative New Giving,Youth Led Philanthropy,"28 Second Street, Suite 400",District 6,94105,Youth Leadership Institute,"28 Second Street, Suite 400",94105,415-836-9160,6,Non-profit's owned or leased space (not faith-based),,,,X,X,,,,X,X,,,,,,X,
Youth Leadership Institute,Hope SF Needs Assessment,Miscellaneous,"28 2nd Street, Suite 400",District 6,94105,Youth Leadership Institute,28 2nd Street,94105,415-836-9160,6,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,,,,,,
Youth Speaks Inc.,Arts-in-Education & Youth Development,Specialized Teen,"1663 Mission Street, Suite 604",District 6,94103,826 Valencia,826 Valencia Street,94110,(415) 642-5905,9,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,,,,,,,,
Youth Speaks Inc.,Arts-in-Education & Youth Development,Specialized Teen,"1663 Mission Street, Suite 604",District 6,94103,Youth Speaks,1663 Mission Street Suite 604,94103,415.255.9034x21,6,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,,,,,,,,
